invoice_id,vendor_id,amount,anomaly_score,anomaly_label
INV-001501,VND-0018,0.0,-0.09808786222474453,ANOMALY
INV-003216,VND-0043,0.0,-0.09446380961443979,ANOMALY
INV-003044,VND-0003,0.0,-0.09300650433088686,ANOMALY
INV-004417,VND-0001,0.0,-0.09056699184448647,ANOMALY
INV-009964,VND-0036,0.0,-0.08773655038161754,ANOMALY
INV-009771,VND-0008,0.0,-0.08745424154626202,ANOMALY
INV-001700,VND-0047,0.0,-0.08532996451747454,ANOMALY
INV-009775,VND-0040,0.0,-0.08452589226874785,ANOMALY
INV-008511,VND-0027,0.0,-0.0814560516348849,ANOMALY
INV-007906,VND-0021,0.0,-0.08064919510330448,ANOMALY
INV-009149,VND-0004,0.0,-0.07694478959280937,ANOMALY
INV-002679,VND-0037,0.0,-0.07620938598978622,ANOMALY
INV-001290,VND-0022,0.0,-0.07510876276935885,ANOMALY
INV-003677,VND-0032,0.0,-0.07502262398569537,ANOMALY
INV-008064,VND-0005,0.0,-0.07449501514710843,ANOMALY
INV-009802,VND-0044,0.0,-0.07429453829091426,ANOMALY
INV-009282,VND-0037,0.0,-0.07380073082460947,ANOMALY
INV-004358,VND-0017,0.0,-0.07373778193351122,ANOMALY
INV-002249,VND-0035,0.0,-0.0734771026301001,ANOMALY
INV-006712,VND-0004,0.0,-0.06757444701364768,ANOMALY
