invoice_id,vendor_id,amount,anomaly_score,anomaly_label
INV-001501,VND-0018,0.0,-0.1097144645174476,ANOMALY
INV-004417,VND-0001,0.0,-0.10369225605490284,ANOMALY
INV-003044,VND-0003,0.0,-0.10357975282402099,ANOMALY
INV-003216,VND-0043,0.0,-0.10153324064250879,ANOMALY
INV-009964,VND-0036,0.0,-0.09858197067521668,ANOMALY
INV-009771,VND-0008,0.0,-0.09634653425790674,ANOMALY
INV-001700,VND-0047,0.0,-0.09567890801881485,ANOMALY
INV-008511,VND-0027,0.0,-0.0929669191009529,ANOMALY
INV-007906,VND-0021,0.0,-0.0923335835614929,ANOMALY
INV-009802,VND-0044,0.0,-0.0918435565851844,ANOMALY
INV-009149,VND-0004,0.0,-0.09133432234090555,ANOMALY
INV-004358,VND-0017,0.0,-0.0903115090393316,ANOMALY
INV-001290,VND-0022,0.0,-0.08961520878100482,ANOMALY
INV-009775,VND-0040,0.0,-0.08928578466122705,ANOMALY
INV-003677,VND-0032,0.0,-0.08876281926405771,ANOMALY
INV-002679,VND-0037,0.0,-0.08752484716242948,ANOMALY
INV-007685,VND-0019,0.0,-0.08663416106577804,ANOMALY
INV-009282,VND-0037,0.0,-0.08632679955011713,ANOMALY
INV-002249,VND-0035,0.0,-0.08532853325692658,ANOMALY
INV-008064,VND-0005,0.0,-0.08351200755472732,ANOMALY
